server,peer,combination,delay,chaincode,payload,send rate,max lat,min lat,avg lat,TPS,link1,link2,link3,link4,link5,link6,link7,server1,server2,server3,server4,server5,server6,server7,server8
5,6,11211,100.200.250.350,Create,10000,765.4,6.78,0.08,0.89,231.1,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,13000,395.2,6.71,0.07,0.62,190.2,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,16000,332.6,11.8,0.06,1.45,156.9,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,100.200.250.350,Create,19000,395.5,7.15,0.06,0.69,207.9,100,200,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,12111,50.100.200.350,Create,100,783.4,1.13,0.06,0.26,594.2,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,1000,774.3,0.68,0.06,0.24,669.1,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,4000,768.9,1.07,0.07,0.28,623.2,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,7000,778.2,5.21,0.09,0.48,284.4,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,10000,785.2,5.19,0.08,0.95,282.6,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,13000,394.3,5.53,0.06,0.52,210.3,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,16000,333.7,3.64,0.07,0.27,268.5,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.200.350,Create,19000,394.2,2.84,0.07,0.44,291.5,50,100,200,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,100,789.6,0.92,0.04,0.25,620.5,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,1000,774.9,0.76,0.06,0.26,664.7,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,4000,773.4,1.2,0.07,0.29,534.8,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,7000,775.8,1.8,0.09,0.49,470.4,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,10000,780.3,3.39,0.1,0.87,477.1,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,13000,396.0,8.1,0.06,0.54,193.5,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,16000,394.6,8.08,0.06,0.58,215.7,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.100.250.350,Create,19000,394.8,8.25,0.06,0.75,185.9,50,100,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,100,785.2,0.92,0.05,0.26,613.7,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,1000,769.8,0.72,0.06,0.26,657.9,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,4000,771.0,1.42,0.08,0.31,542.7,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,7000,782.8,3.6,0.09,0.47,334.8,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,10000,778.5,7.03,0.08,0.88,244.1,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,13000,395.5,3.48,0.06,0.42,261.8,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,16000,394.6,13.35,0.06,0.9,139.7,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,50.200.250.350,Create,19000,394.3,4.75,0.1,0.53,265.1,50,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,100,789.0,0.9,0.05,0.28,614.3,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,1000,766.6,0.73,0.06,0.27,659.0,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,4000,773.7,0.93,0.07,0.31,616.7,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,7000,776.4,2.09,0.09,0.43,461.8,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,10000,581.1,7.19,0.19,2.03,248.7,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,13000,395.1,2.54,0.06,0.28,290.5,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,16000,329.4,14.64,0.06,1.22,129.9,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,6,12111,100.200.250.350,Create,19000,395.2,11.49,0.06,0.88,154.4,100,200,250,350,0,0,0,1,2,1,1,1,0,0,0
5,7,11113,50.100.200.250,Create,100,780.3,0.82,0.05,0.29,608.6,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,1000,774.3,2.63,0.05,0.38,418.7,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,4000,773.1,2.13,0.08,0.3,460.9,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,7000,774.0,3.25,0.1,0.54,357.3,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,10000,767.8,9.88,0.07,1.63,186.7,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,13000,394.7,12.71,0.05,1.54,143.2,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,16000,393.5,14.72,0.05,2.99,124.3,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.250,Create,19000,394.6,17.39,0.06,3.62,103.9,50,100,200,250,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,100,792.7,5.0,0.04,0.48,270.9,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,1000,422.1,7.02,0.06,0.48,210.1,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,4000,767.5,4.24,0.08,0.51,317.0,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,7000,778.8,1.75,0.09,0.46,476.3,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,10000,560.7,13.31,0.07,1.35,134.6,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,13000,395.6,2.11,0.06,0.24,372.6,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,16000,394.5,13.85,0.06,1.66,128.2,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.200.350,Create,19000,288.6,13.77,0.06,1.74,123.8,50,100,200,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,100,788.0,0.96,0.05,0.34,597.6,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,1000,772.8,3.48,0.06,0.36,336.9,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,4000,779.1,4.81,0.08,0.48,288.9,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,7000,442.5,8.31,0.06,0.9,197.8,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,10000,602.0,8.21,0.1,1.34,197.7,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,13000,394.9,12.34,0.06,1.59,135.1,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,16000,394.5,14.37,0.06,2.33,123.7,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,50.100.250.350,Create,19000,342.9,11.38,0.05,1.38,131.6,50,100,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,100,787.7,2.01,0.06,0.37,444.6,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,1000,772.8,4.57,0.05,0.48,289.9,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,4000,764.5,3.98,0.07,0.55,305.7,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,7000,549.6,6.44,0.07,0.74,252.3,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,10000,662.0,3.85,0.1,1.27,350.4,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
5,7,11113,100.200.250.350,Create,13000,333.9,13.65,0.06,1.49,112.7,100,200,250,350,0,0,0,1,1,1,1,3,0,0,0
